Data do Negócio,Tipo de Movimentação,Mercado,Prazo/Vencimento,Instituição,Código de Negociação,Quantidade,Preço,Valor
31/12/2023,POSIÇÃO,,,XP INVESTIMENTOS CCTVM S/A,AZUL4,59," R$ 27,85 "," R$ 1.643,15 "
31/12/2023,POSIÇÃO,,,XP INVESTIMENTOS CCTVM S/A,GOLL4,35," R$ 20,83 "," R$ 729,05 "
31/12/2023,POSIÇÃO,,,XP INVESTIMENTOS CCTVM S/A,JBSS3,160," R$ 19,47 "," R$ 3.115,20 "
31/12/2023,POSIÇÃO,,,XP INVESTIMENTOS CCTVM S/A,KEPL3,235," R$ 9,21 "," R$ 2.164,35 "
31/12/2023,POSIÇÃO,,,XP INVESTIMENTOS CCTVM S/A,MGLU3,115," R$ 5,07 "," R$ 583,05 "
31/12/2023,POSIÇÃO,,,XP INVESTIMENTOS CCTVM S/A,POSI3,382," R$ 8,01 "," R$ 3.059,82 "
31/12/2023,POSIÇÃO,,,XP INVESTIMENTOS CCTVM S/A,RANI3,253," R$ 8,95 "," R$ 2.264,35 "
31/12/2023,POSIÇÃO,,,XP INVESTIMENTOS CCTVM S/A,TAEE11,7," R$ 34,45 "," R$ 241,15 "
31/12/2023,POSIÇÃO,,,XP INVESTIMENTOS CCTVM S/A,TRPL4,142," R$ 25,38 "," R$ 3.603,96 "
31/12/2023,POSIÇÃO,,,XP INVESTIMENTOS CCTVM S/A,UNIP6,20," R$ 78,92 "," R$ 1.578,40 "
31/12/2023,POSIÇÃO,,,XP INVESTIMENTOS CCTVM S/A,USIM5,400," R$ 7,09 "," R$ 2.836,00 "
31/12/2023,POSIÇÃO,,,XP INVESTIMENTOS CCTVM S/A,VBBR3,65," R$ 16,39 "," R$ 1.065,35 "
31/12/2023,POSIÇÃO,,,XP INVESTIMENTOS CCTVM S/A,BCFF11,136," R$ 10,49 "," R$ 1.426,64 "
31/12/2023,POSIÇÃO,,,XP INVESTIMENTOS CCTVM S/A,BRCO11,25," R$ 104,60 "," R$ 2.615,00 "
31/12/2023,POSIÇÃO,,,XP INVESTIMENTOS CCTVM S/A,BRCR11,40," R$ 66,96 "," R$ 2.678,40 "
31/12/2023,POSIÇÃO,,,XP INVESTIMENTOS CCTVM S/A,CPTS11,310," R$ 8,69 "," R$ 2.693,90 "
31/12/2023,POSIÇÃO,,,XP INVESTIMENTOS CCTVM S/A,HCTR11,147," R$ 85,83 "," R$ 12.617,01 "
31/12/2023,POSIÇÃO,,,XP INVESTIMENTOS CCTVM S/A,KNRI11,19," R$ 135,94 "," R$ 2.582,86 "
31/12/2023,POSIÇÃO,,,XP INVESTIMENTOS CCTVM S/A,MCHF11,234," R$ 9,18 "," R$ 2.148,12 "
31/12/2023,POSIÇÃO,,,XP INVESTIMENTOS CCTVM S/A,TVRI11,18," R$ 89,20 "," R$ 1.605,60 "
31/12/2023,POSIÇÃO,,,XP INVESTIMENTOS CCTVM S/A,XPLG11,22," R$ 113,28 "," R$ 2.492,16 "
19/01/2024,Venda,Mercado à Vista,-,XP INVESTIMENTOS CCTVM S/A,USIM5,100," R$ 8,64 "," R$ 864,00 "
24/01/2024,Compra,Mercado Fracionário,-,XP INVESTIMENTOS CCTVM S/A,GOAU4F,50," R$ 10,03 "," R$ 501,50 "
24/01/2024,Compra,Mercado Fracionário,-,XP INVESTIMENTOS CCTVM S/A,GOAU4F,35," R$ 10,03 "," R$ 351,05 "
24/01/2024,Compra,Mercado Fracionário,-,XP INVESTIMENTOS CCTVM S/A,POSI3F,30," R$ 7,29 "," R$ 218,70 "
24/01/2024,Compra,Mercado Fracionário,-,XP INVESTIMENTOS CCTVM S/A,UNIP6F,10," R$ 71,90 "," R$ 719,00 "
09/02/2024,Venda,Mercado Fracionário,-,XP INVESTIMENTOS CCTVM S/A,VBBR3F,65," R$ 24,37 "," R$ 1.584,05 "
15/02/2024,Compra,Mercado Fracionário,-,XP INVESTIMENTOS CCTVM S/A,TAEE11F,41," R$ 36,07 "," R$ 1.478,87 "
08/04/2024,Compra,Mercado à Vista,-,XP INVESTIMENTOS CCTVM S/A,GOAU4,100," R$ 10,79 "," R$ 1.079,00 "
06/06/2024,Compra,Mercado Fracionário,-,XP INVESTIMENTOS CCTVM S/A,TAEE11F,15," R$ 34,09 "," R$ 511,35 "
06/06/2024,Compra,Mercado Fracionário,-,XP INVESTIMENTOS CCTVM S/A,UNIP6F,5," R$ 48,17 "," R$ 240,85 "
06/06/2024,Compra,Mercado Fracionário,-,XP INVESTIMENTOS CCTVM S/A,USIM5F,60," R$ 7,33 "," R$ 439,80 "
23/07/2024,Compra,Mercado Fracionário,-,XP INVESTIMENTOS CCTVM S/A,TAEE11F,15," R$ 34,04 "," R$ 510,60 "
06/08/2024,Compra,Mercado à Vista,-,NU INVEST CORRETORA DE VALORES S.A.,IVVB11,18," R$ 332,84 "," R$ 5.991,12 "
06/09/2024,Compra,Mercado à Vista,-,NU INVEST CORRETORA DE VALORES S.A.,SPYI11,35," R$ 111,25 "," R$ 3.893,75 "
09/10/2024,Compra,Mercado à Vista,-,NU INVEST CORRETORA DE VALORES S.A.,IVVB11,1," R$ 355,99 "," R$ 355,99 "
09/10/2024,Compra,Mercado à Vista,-,NU INVEST CORRETORA DE VALORES S.A.,IVVB11,1," R$ 356,00 "," R$ 356,00 "
09/10/2024,Compra,Mercado à Vista,-,NU INVEST CORRETORA DE VALORES S.A.,IVVB11,6," R$ 356,11 "," R$ 2.136,66 "
09/10/2024,Compra,Mercado à Vista,-,NU INVEST CORRETORA DE VALORES S.A.,IVVB11,2," R$ 356,10 "," R$ 712,20 "
09/10/2024,Compra,Mercado à Vista,-,NU INVEST CORRETORA DE VALORES S.A.,LVOL11,50," R$ 100,50 "," R$ 5.025,00 "
09/10/2024,Compra,Mercado à Vista,-,NU INVEST CORRETORA DE VALORES S.A.,SPYI11,25," R$ 114,40 "," R$ 2.860,00 "

09/02/2025,Venda,Mercado Fracionário,-,XP INVESTIMENTOS CCTVM S/A,AZUL4,59," R$ 16,95 "," R$ 1.000,00 "
